B5F0+1 雕 ⿰⿵⺆𠮷隹
B5F0+2 凋 ⿰冫⿵⺆𠮷
B5F0+3 刁 ⿹𠃌㇀
B5F0+4 掉 ⿰扌⿱⺊早
B5F0+5 吊 ⿱口巾
B5F0+6 钓 ⿰钅⿹勹丶
B5F0+7 调 ⿰讠⿵⺆𠮷
B5F0+8 跌 ⿰𧾷⿰丿夫
B5F0+9 爹 ⿱⿱八乂⿱夕夕
B5F0+A 碟 ⿰⿸丆口枼
B5F0+B 蝶 ⿰虫枼
B5F0+C 迭 ⿺辶⿰丿夫
B5F0+D 谍 ⿰讠枼
B5F0+E 叠 ⿱叒冝
B6A0+1 丁 ⿱一亅
B6A0+2 盯 ⿰目⿱一亅
B6A0+3 叮 ⿰口⿱一亅
B6A0+4 钉 ⿰钅⿱一亅
B6A0+5 顶 ⿰⿱一亅页
B6A0+6 鼎 ⿶⑧目
B6A0+7 锭 ⿰钅⿱宀𤴓
B6A0+8 定 ⿱宀𤴓
B6A0+9 订 ⿰讠⿱一亅
B6A0+A 丢 ⿱丿⿱土厶
B6A0+B 东 东
B6A0+C 冬 ⿱夂⺀
B6A0+D 董 ⿱⿻十丨重
B6A0+E 懂 ⿰忄⿱艹重
B6A0+F 动 ⿰⿱二厶⿻丿𠃌
B6B0+0 栋 ⿰木东
B6B0+1 侗 ⿰亻⿵𠔼口
B6B0+2 恫 ⿰忄⿵𠔼口
B6B0+3 冻 ⿰冫东
B6B0+4 洞 ⿰氵⿵𠔼口
B6B0+5 兜 ⿱⿲②白コ⿰丿乚
B6B0+6 抖 ⿰扌斗
B6B0+7 斗 斗
B6B0+8 陡 ⿰阝⿱土龰
B6B0+9 豆 豆
B6B0+A 逗 ⿺辶豆
B6B0+B 痘 ⿸疒豆
B6B0+C 都 ⿰⿸耂日阝
B6B0+D 督 ⿱⿰尗又目
B6B0+E 毒 ⿱龶母
B6B0+F 犊 ⿰牛⿱十买
B6C0+0 独 ⿰犭虫
B6C0+1 读 ⿰讠⿱十买
B6C0+2 堵 ⿰⿱十一⿸耂日
B6C0+3 睹 ⿰目⿸耂日
B6C0+4 赌 ⿰贝⿸耂日
B6C0+5 杜 ⿰木⿱十一
B6C0+6 镀 ⿰钅⿸广⿱廿又
B6C0+7 肚 ⿰月⿱十一
B6C0+8 度 ⿸广⿱廿又
B6C0+9 渡 ⿰氵⿸广⿱廿又
B6C0+A 妒 ⿰女⿱丶尸
B6C0+B 端 ⿰⿱⿱亠丷一耑
B6C0+C 短 ⿰⿱𠂉大豆
